프로그램명,url,values,rating,장르,방송 채널,방송 시간
웰컴2라이프,https://ko.wikipedia.org/wiki/%EC%9B%B0%EC%BB%B42%EB%9D%BC%EC%9D%B4%ED%94%84,"{'장르': '법률, 로맨스, 코미디, 수사', '방송 국가': '대한민국', '방송 채널': 'MBC TV', '방송 기간': '2019년 8월 5일 ~ 2019년 9월 24일', '방송 시간': '매주 월, 화 밤 8:55 ~ 10:05', '방송 분량': '70분 (1회당 35분)', '방송 횟수': '32부작', '추가 채널': 'MBC 드라마넷', '기획': '신현창', '편집': '백경화, 홍승희', '제작사': '김종학프로덕션', '제작자': '손기원, 김남표', '연출': '김근홍, 심소연', '조연출': '강학구, 김영재', '각본': '유희경', '출연자': '정지훈, 임지연, 곽시양 외', '음악': '이희승', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '웰컴2라이프 홈페이지'}",,"법률, 로맨스, 코미디, 수사",MBC TV,"매주 월, 화 밤 8:55 ~ 10:05"
너의 노래를 들려줘,https://ko.wikipedia.org/wiki/%EB%84%88%EC%9D%98_%EB%85%B8%EB%9E%98%EB%A5%BC_%EB%93%A4%EB%A0%A4%EC%A4%98,"{'방송 국가': '대한민국', '방송 채널': 'KBS 2TV', '방송 기간': '2019년 8월 5일 ~ 2019년 9월 24일', '방송 시간': '매주 월요일, 화요일 밤 10:00 ~ 11:10', '방송 분량': '1시간 10분 (1회당 35분 / 2회 연속방송)', '방송 횟수': '32부작', '추가 채널': 'KBS Drama', '원작': '재워드릴게요', '기획': 'KBS 드라마본부', '제작사': 'JP E&M', '제작자': '박희설, 정성택', '연출': '이정미, 최상열', '각본': '김민주', '출연자': '연우진, 김세정, 송재림, 박지연 외', '닫는 곡': '오왠 - 너의 노래를 들려줘\n박지연 - 어느 파란 밤\n김연지 - Cry (feat. SARAH)\n계범주 - 불면증\n송지은 - 눈부신 날\n남주 - 그리운 날엔\n김남주 - Stay with me (Feat.박준호)', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '너의 노래를 들려줘 홈페이지'}",4.0%,,KBS 2TV,"매주 월요일, 화요일 밤 10:00 ~ 11:10"
17세의 조건,https://ko.wikipedia.org/wiki/17%EC%84%B8%EC%9D%98_%EC%A1%B0%EA%B1%B4,"{'장르': '청춘, 로맨스, 멜로', '방송 국가': '대한민국', '방송 채널': 'SBS', '방송 기간': '2019년 8월 5일 ~ 2019년 8월 6일', '방송 시간': '매주 월, 화 밤 10:00 ~ 11:10', '방송 분량': '70분', '방송 횟수': '2부작', '기획': 'SBS 드라마본부', '프로듀서': 'SBS 드라마운영팀', '제작사': '더스토리웍스', '제작자': '송경화', '연출': '조영민', '조연출': '권다솜', '각본': '류보리', '출연자': '윤찬영, 박시은 외', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '17세의 조건 홈페이지'}",3.0%,"청춘, 로맨스, 멜로",SBS,"매주 월, 화 밤 10:00 ~ 11:10"
멜로가 체질,https://ko.wikipedia.org/wiki/%EB%A9%9C%EB%A1%9C%EA%B0%80_%EC%B2%B4%EC%A7%88,"{'장르': '멜로, 로맨스, 드라마', '방송 국가': '대한민국', '방송 채널': 'JTBC', '방송 기간': '2019년 8월 9일 ~ 2019년 9월 28일', '방송 시간': '매주 금요일, 토요일 밤 10시 50분 ~ 12시 20분', '방송 횟수': '16부작 + 스페셜 1부작', '추가 채널': '드라마 H, JTBC2', '기획': 'JTBC', '책임프로듀서': '함영훈', '제작사': '삼화네트웍스', '제작자': '안제현, 신상윤', '연출': '이병헌, 김혜영', '극본': '이병헌, 김영영', '출연자': '천우희, 전여빈, 한지은, 안재홍, 공명 외', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '멜로가 체질 홈페이지'}",1.8%,"멜로, 로맨스, 드라마",JTBC,"매주 금요일, 토요일 밤 10시 50분 ~ 12시 20분"
힙합왕 - 나스나길,https://ko.wikipedia.org/wiki/%ED%9E%99%ED%95%A9%EC%99%95_-_%EB%82%98%EC%8A%A4%EB%82%98%EA%B8%B8,"{'장르': '음악, 청춘, 드라마', '방송 국가': '대한민국', '방송 채널': 'SBS', '방송 기간': '2019년 8월 9일 ~ 2019년 9월 13일', '방송 시간': '매주 금요일 밤 11:10 ~ 12:20', '방송 분량': '70분', '방송 횟수': '6부작', '제작사': '(주)지포틴엔터테인먼트, 실크우드', '제작자': '박문균, 김승조', '연출': '이준형', '각본': '권수민', '출연자': '이호원, 이나은, 신원호, 한현민 외', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'UHD 제작 · 방송', '외부 링크': 'SBS 힙합 왕 - 나스나길 홈페이지'}",1.7%,"음악, 청춘, 드라마",SBS,매주 금요일 밤 11:10 ~ 12:20
우아한 가,https://ko.wikipedia.org/wiki/%EC%9A%B0%EC%95%84%ED%95%9C_%EA%B0%80,"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': 'MBN, 드라맥스', '방송 기간': '2019년 8월 21일 ~ 2019년 10월 17일', '방송 시간': '매주 수, 목 밤 11시 ~ 12시 20분', '방송 분량': '1시간 20분', '방송 횟수': '16부작', '기획': '드라맥스, MBN', '책임프로듀서': '컴재운, 김봉수', '프로듀서': '이건영, 김미진', '제작사': '삼화네트웍스', '제작자': '안제현, 신상윤', '연출': '한철수, 육정용', '각본': '권민수', '출연자': '임수향, 이장우, 배종옥 외', '음악': '김종천', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '우아한 가 공식 사이트'}",8.5%,드라마,"MBN, 드라맥스","매주 수, 목 밤 11시 ~ 12시 20분"
위대한 쇼,https://ko.wikipedia.org/wiki/%EC%9C%84%EB%8C%80%ED%95%9C_%EC%87%BC,"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': 'tvN', '방송 기간': '2019년 8월 26일 ~ 2019년 10월 15일', '방송 시간': '매주 월, 화 밤 9시 30분', '방송 횟수': '16부작', '제작사': '화이브라더스코리아, 롯데컬처웍스', '연출': '신용휘, 김정욱', '각본': '설준석', '출연자': '송승헌, 이선빈, 임주환 외', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '위대한 쇼 홈페이지'}",,드라마,tvN,"매주 월, 화 밤 9시 30분"
타인은 지옥이다,https://ko.wikipedia.org/wiki/%ED%83%80%EC%9D%B8%EC%9D%80_%EC%A7%80%EC%98%A5%EC%9D%B4%EB%8B%A4,"{'방송 국가': '대한민국', '방송 채널': 'OCN', '방송 기간': '2019년 8월 31일 ~ 2019년 10월 6일', '방송 시간': '토요일 일요일 밤 10시 30분 ~ 11시 50분', '방송 분량': '60분', '방송 횟수': '10부작', '원작': '김용키의 웹툰《타인은 지옥이다》', '기획': 'OCN', '제작사': '영화사 우상, 스튜디오N', '제작자': '김우상, 권미경', '연출': '이창희', '각본': '정이도', '출연자': '임시완, 이동욱 외', '언어': '한국어', '음성': '2채널 돌비 디지털', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '타인은 지옥이다 홈페이지'}",3.9%,,OCN,토요일 일요일 밤 10시 30분 ~ 11시 50분
생일편지,https://ko.wikipedia.org/wiki/%EC%83%9D%EC%9D%BC%ED%8E%B8%EC%A7%80,"{'장르': '시대극, 전쟁, 드라마', '방송 국가': '대한민국', '방송 채널': 'KBS 2TV', '방송 기간': '2019년 9월 11일 ~ 2019년 9월 12일', '방송 시간': '수요일 밤 10:00 ~ 11:10, 목요일 밤 9:55 ~ 11:10', '방송 분량': '35분', '방송 횟수': '4부작', '책임프로듀서': '함영훈', '제작사': '에이스팩토리', '연출': '김정규', '각본': '배수영', '출연자': '전무송, 정영숙, 송건희, 조수민 외', '음성': '2채널 돌비 디지털(디지털)', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '생일편지 홈페이지'}",2.8%,"시대극, 전쟁, 드라마",KBS 2TV,"수요일 밤 10:00 ~ 11:10, 목요일 밤 9:55 ~ 11:10"
꽃파당: 조선혼담공작소,https://ko.wikipedia.org/wiki/%EA%BD%83%ED%8C%8C%EB%8B%B9:_%EC%A1%B0%EC%84%A0%ED%98%BC%EB%8B%B4%EA%B3%B5%EC%9E%91%EC%86%8C,"{'장르': '사극', '방송 국가': '대한민국', '방송 채널': 'JTBC', '방송 기간': '2019년 9월 16일 ~ 2019년 11월 5일', '방송 분량': '매주 월, 화 밤 9시 30분 ~ 10시 45분', '방송 횟수': '16부작', '추가 채널': 'JTBC2, 라이프타임', '원작': '김이랑', '기획': 'JTBC', '책임프로듀서': '조준형', '제작사': '블러썸스토리, JP E&M', '제작자': '정성택, 박희설, 주방옥', '연출': '김가람, 임현욱', '조연출': '위진우, 우아름, 이재훈', '극본': '김이랑', '출연자': '김민재, 공승연, 서지훈, 박지훈, 변우석, 고원희, 박호산, 정재성', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '꽃파당: 조선혼담공작소 홈페이지'}",4.3%,사극,JTBC,
