프로그램명,url,values,rating,장르,방송 채널,방송 시간
나의 나라,https://ko.wikipedia.org/wiki/%EB%82%98%EC%9D%98_%EB%82%98%EB%9D%BC,"{'장르': '사극', '방송 국가': '대한민국', '방송 채널': 'JTBC', '방송 기간': '2019년 10월 4일 ~ 2019년 11월 23일', '방송 시간': '매주 금요일, 토요일 밤 10시 50분 ~ 12시 20분', '방송 분량': '70분', '방송 횟수': '16부작 + 스페셜 1부작', '추가 채널': 'JTBC2, 드라마H', '기획': 'JTBC', '책임프로듀서': '오환민', '프로듀서': '김우현, 박우람', '촬영': '장병욱', '제작사': '셀트리온엔터테인먼트, 나의 나라 문화전문유한회사', '제작자': '박재삼, 김지우', '연출': '김진원', '조연출': '양승현, 이서재준, 오세규', '극본': '채승대', '출연자': '양세종, 우도환, 김설현, 장혁, 김영철, 안내상 외', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '나의 나라 홈페이지'}",5.0%,사극,JTBC,"매주 금요일, 토요일 밤 10시 50분 ~ 12시 20분"
모두의 거짓말,https://ko.wikipedia.org/wiki/%EB%AA%A8%EB%91%90%EC%9D%98_%EA%B1%B0%EC%A7%93%EB%A7%90,"{'방송 국가': '대한민국', '방송 채널': 'OCN', '방송 기간': '2019년 10월 12일 ~ 2019년 12월 1일', '방송 시간': '토요일, 일요일 밤 10시 30분 ~ 11시 50분', '방송 분량': '60분', '방송 횟수': '16부작', '원작': '주원규의 장편소설《반인간선언》', '기획': '스튜디오드래곤', '제작사': '스튜디오드래곤', '연출': '이윤정', '각본': '전영신, 원유정', '출연자': '이민기, 이유영 외', '언어': '한국어', '음성': '2채널 돌비 디지털', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '모두의 거짓말 홈페이지'}",2.2%,,OCN,"토요일, 일요일 밤 10시 30분 ~ 11시 50분"
레버리지: 사기조작단,https://ko.wikipedia.org/wiki/%EB%A0%88%EB%B2%84%EB%A6%AC%EC%A7%80:_%EC%82%AC%EA%B8%B0%EC%A1%B0%EC%9E%91%EB%8B%A8,"{'장르': '범죄, 스릴러', '방송 국가': '대한민국', '방송 채널': 'TV CHOSUN', '방송 기간': '2019년 10월 13일 ~ 2019년 12월 8일', '방송 시간': '매주 일요일 오후 10시 (2회 연속방송)', '방송 분량': '120분', '방송 횟수': '16부작', '원작': '미국드라마《레버리지》', '기획': 'TV CHOSUN, 소니 픽처스 텔레비전', '제작사': '프로덕션 H, 하이그라운드', '연출': '남기훈, 서강석', '각본': '민지형', '출연자': '이동건, 전혜빈, 김새론', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '레버리지: 사기조작단 홈페이지'}",2.3%,"범죄, 스릴러",TV CHOSUN,매주 일요일 오후 10시 (2회 연속방송)
유령을 잡아라,https://ko.wikipedia.org/wiki/%EC%9C%A0%EB%A0%B9%EC%9D%84_%EC%9E%A1%EC%95%84%EB%9D%BC,"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': 'tvN', '방송 기간': '2019년 10월 21일 ~ 2019년 12월 10일', '방송 시간': '매주 월, 화 밤 9시 30분', '방송 횟수': '16부작', '기획': '스튜디오드래곤', '제작사': '로고스 필름 (주)', '제작자': '이장수', '연출': '신윤섭', '각본': '소원, 이영주', '출연자': '문근영, 김선호 외', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '유령을 잡아라 홈페이지'}",4.1%,드라마,tvN,"매주 월, 화 밤 9시 30분"
꽃길만 걸어요,https://ko.wikipedia.org/wiki/%EA%BD%83%EA%B8%B8%EB%A7%8C_%EA%B1%B8%EC%96%B4%EC%9A%94,"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': 'KBS 1TV (본방송)KBS 2TV (재방송)', '방송 기간': '2019년 10월 28일 ~ 2020년 4월 17일', '방송 시간': '매주 평일 저녁 8:30 ~ 9:00', '방송 분량': '30분', '방송 횟수': '123부작', '책임프로듀서': '전우성 (KBS 드라마운영팀)', '제작사': 'KBS 드라마본부', '연출': '박기현', '조연출': '박단비, 서용수', '각본': '채혜영, 나승현, 유상영 (2회~11회), 백은정 (50회~123회)', '출연자': '최윤소, 설정환, 심지호, 정유민 외', '여는 곡': '제이세라 - 다 잘될거야', '닫는 곡': '코다브릿지 - 세상에 뿌려진 사랑만큼더 데이지(The Daisy) - 사랑해요 그대캔도 - 사랑인건가요이장우 - 하루를 일년처럼 살아권인하 - 남은 것은 당신 뿐미네 - 사랑하게 되면코드(KOHD) - 행복해야해요송푸름 - 사랑하고 미안하고 고마워요장희영 - 정말 보고싶다송민경 - 가르쳐줘요제이세라 - 다 잘될거야', '음성': '1,2채널 돌비 디지털(디지털)', '자막': '청각 장애인을 위한 자막 방송', '외부 링크': '꽃길만 걸어요 홈페이지'}",23.9%,드라마,KBS 1TV (본방송)KBS 2TV (재방송),매주 평일 저녁 8:30 ~ 9:00
VIP,https://ko.wikipedia.org/wiki/VIP_(%EB%93%9C%EB%9D%BC%EB%A7%88),"{'장르': '프라이빗 오피스 멜로', '방송 국가': '대한민국', '방송 채널': 'SBS', '방송 기간': '2019년 10월 28일 ~ 2019년 12월 24일', '방송 시간': '매주 월, 화 밤 10:00 ~ 11:10', '방송 분량': '70분 (1부 40분, 2부 30분 분할 방영)', '방송 횟수': '16부작', '추가 채널': 'SBS 플러스, 드라맥스, Sky Drama', '기획': '이용석', '프로듀서': '이옥규', '제작사': '더스토리웍스', '제작자': '송경화', '연출': '이정림', '각본': '차해원', '출연자': '장나라, 이상윤, 이청아 외', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': 'VIP 공식 홈페이지'}",15.9%,프라이빗 오피스 멜로,SBS,"매주 월, 화 밤 10:00 ~ 11:10"
두 번은 없다,https://ko.wikipedia.org/wiki/%EB%91%90_%EB%B2%88%EC%9D%80_%EC%97%86%EB%8B%A4,"{'장르': '복수, 가족, 코미디', '방송 국가': '대한민국', '방송 채널': 'MBC', '방송 기간': '2019년 11월 2일 ~ 2020년 3월 7일', '방송 시간': '매주 토요일 밤 9:05 ~ 11:05', '방송 분량': '120분 (1회당 30분 / 4회 연속방송)', '방송 횟수': '72부작', '기획': 'MBC 드라마본부', '프로듀서': '전수정', '편집': '송미경, 호진아', '제작사': '팬엔터테인먼트', '제작자': '전산, 김희열', '연출': '최원석, 박상우', '조연출': '정훈, 박유신, 박충권', '각본': '구현숙', '출연자': '윤여정, 박세완, 곽동연, 오지호, 예지원 외', '음악': '전준모, 김지애, 김현주, 박형준, 양성호, 이소연, 이윤정, 조란, 전세진, 전재승, 최혜윤, 판은영 (팬뮤직)', '여는 곡': 'Various Artists - Title of 두 번은 없다', '닫는 곡': '임희빈 - 소중한 사람', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '두 번은 없다 홈페이지'}",13.2%,"복수, 가족, 코미디",MBC,매주 토요일 밤 9:05 ~ 11:05
우아한 모녀,https://ko.wikipedia.org/wiki/%EC%9A%B0%EC%95%84%ED%95%9C_%EB%AA%A8%EB%85%80,"{'장르': '미스터리, 멜로', '방송 국가': '대한민국', '방송 채널': 'KBS 2TV', '방송 기간': '2019년 11월 4일 ~ 2020년 3월 27일', '방송 시간': '매주 평일 저녁 7:50 ~ 8:30 (본방송)매주 목요일 낮 12:10 ~ 오후 1:50 (재방송)', '방송 분량': '40분', '방송 횟수': '103부작', '추가 채널': 'KBS 드라마, KBS W, KBS 월드', '기획': 'KBS 드라마본부', '책임프로듀서': '문준하 (KBS 드라마운영팀)', '프로듀서': '이대경', '제작사': '아이윌미디어', '제작자': '김종식, 김남희', '연출': '어수선', '조연출': '이정, 김연주', '각본': '오상희', '출연자': '최명길, 차예련, 김흥수, 오채이 외', '닫는 곡': '황가람 - 나를 위해 울지마', '음성': '2채널 돌비 디지털(디지털)', '자막': '청각 장애인을 위한 자막 방송', '외부 링크': '우아한 모녀 홈페이지'}",18.8%,"미스터리, 멜로",KBS 2TV,매주 평일 저녁 7:50 ~ 8:30 (본방송)매주 목요일 낮 12:10 ~ 오후 1:50 (재방송)
보좌관 2,https://ko.wikipedia.org/wiki/%EB%B3%B4%EC%A2%8C%EA%B4%80_-_%EC%84%B8%EC%83%81%EC%9D%84_%EC%9B%80%EC%A7%81%EC%9D%B4%EB%8A%94_%EC%82%AC%EB%9E%8C%EB%93%A4_%EC%8B%9C%EC%A6%8C2,"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': 'JTBC', '방송 기간': '2019년 11월 11일 ~ 2019년 12월 10일', '방송 시간': '매주 월, 화 밤 9시 30분 ~ 11시', '방송 분량': '65분', '방송 횟수': '10부작', '기획': 'JTBC', '책임프로듀서': '함영훈', '제작사': '스튜디오앤뉴', '제작자': '김우택, 장경익', '연출': '곽정환', '각본': '이대일', '출연자': '이정재, 신민아, 이엘리야, 김동준,김갑수, 정웅인, 정만식, 박효주, 조복래 외', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '전편': '보좌관 - 세상을 움직이는 사람들', '외부 링크': '보좌관 세상을 움직이는 사람들 시즌2 홈페이지'}",5.3%,드라마,JTBC,"매주 월, 화 밤 9시 30분 ~ 11시"
맛 좀 보실래요,https://ko.wikipedia.org/wiki/%EB%A7%9B_%EC%A2%80_%EB%B3%B4%EC%8B%A4%EB%9E%98%EC%9A%94,"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': 'SBS', '방송 기간': '2019년 11월 12일 ~ 2020년 5월 1일', '방송 시간': '매주 평일 아침 8:35 ~ 9:10', '방송 분량': '35분', '방송 횟수': '124부작', '추가 채널': 'SBS 플러스', '기획': '이용석', '프로듀서': '양성은', '편집': '방수연', '제작사': '셀트리온 엔터테인먼트', '연출': '윤류해', '조연출': '김동준, 배하늘', '극본': '김도현', '출연자': '심이영, 서도영, 서하준, 한가림, 이슬아, 최우석 외', '여는 곡': 'Various Artists - 메인 타이틀', '닫는 곡': '김찬혁\xa0- 너밖에 안\xa0보여', '음성': '2채널 돌비 디지털(디지털)', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'UHD 제작 · 방송', '외부 링크': '맛 좀 보실래요? 홈페이지'}",9.7%,드라마,SBS,매주 평일 아침 8:35 ~ 9:10
싸이코패스 다이어리,https://ko.wikipedia.org/wiki/%EC%8B%B8%EC%9D%B4%EC%BD%94%ED%8C%A8%EC%8A%A4_%EB%8B%A4%EC%9D%B4%EC%96%B4%EB%A6%AC,"{'장르': '스릴러, 범죄', '방송 국가': '대한민국', '방송 채널': 'tvN', '방송 기간': '2019년 11월 20일 ~ 2020년 1월 9일', '방송 시간': '매주 수요일, 목요일 밤 9시 30분 ~ 10시 50분', '방송 분량': '70분', '방송 횟수': '16부작', '추가 채널': 'O tvn', '기획': '스튜디오드래곤', '제작사': '스튜디오드래곤, 키이스트', '연출': '이종재, 최영수', '각본': '류용재, 김환채, 최성준', '출연자': '윤시윤, 정인선, 박성훈 외', '닫는 곡': '김우성 - Wanna be Bad', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송'}",3.0%,"스릴러, 범죄",tvN,"매주 수요일, 목요일 밤 9시 30분 ~ 10시 50분"
하자있는 인간들,https://ko.wikipedia.org/wiki/%ED%95%98%EC%9E%90%EC%9E%88%EB%8A%94_%EC%9D%B8%EA%B0%84%EB%93%A4,"{'장르': '로맨틱 코미디', '방송 국가': '대한민국', '방송 채널': 'MBC', '방송 기간': '2019년 11월 27일 ~ 2020년 1월 16일', '방송 시간': '매주 수, 목 저녁 8시 55분 ~ 밤 10시 5분', '방송 분량': '1시간 10분', '방송 횟수': '32부작', '기획': '손형석', '제작사': '에이스토리', '연출': '오진석', '극본': '안신유', '출연자': '오연서, 안재현, 전태열, 김슬기, 구원, 허정민 외'}",4.0%,로맨틱 코미디,MBC,"매주 수, 목 저녁 8시 55분 ~ 밤 10시 5분"
초콜릿,https://ko.wikipedia.org/wiki/%EC%B4%88%EC%BD%9C%EB%A6%BF_(%EB%93%9C%EB%9D%BC%EB%A7%88),"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': 'JTBC', '방송 기간': '2019년 11월 29일 ~ 2020년 1월 18일', '방송 시간': '매주 금요일, 토요일 밤 10시 50분', '방송 분량': '70분', '방송 횟수': '16부작', '추가 채널': '드라마 H, JTBC2', '기획': 'JTBC', '제작사': 'JYP픽처스', '제작자': '표종록', '연출': '이형민', '극본': '이경희', '음성': '2채널 돌비 디지털 (디지털)', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '초콜릿 홈페이지'}",4.6%,드라마,JTBC,"매주 금요일, 토요일 밤 10시 50분"
나쁜 사랑,https://ko.wikipedia.org/wiki/%EB%82%98%EC%81%9C_%EC%82%AC%EB%9E%91_(%EB%93%9C%EB%9D%BC%EB%A7%88),"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': 'MBC', '방송 기간': '2019년 12월 2일 ~ 2020년 5월 29일', '방송 시간': '매주 평일 아침 7:50 ~ 8:30', '방송 분량': '40분', '방송 횟수': '129부작', '기획': '장재훈', '편집': '박선영', '제작사': 'MBC C&I', '제작자': '백호민', '연출': '김미숙', '조연출': '강윤희', '극본': '홍승희', '출연자': '신고은, 이선호, 오승아, 윤종화, 전승빈 외', '닫는 곡': '프린 - 함께라면', '음성': '2채널 돌비 디지털(디지털)', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '나쁜 사랑 홈페이지'}",6.9%,드라마,MBC,매주 평일 아침 7:50 ~ 8:30
99억의 여자,https://ko.wikipedia.org/wiki/99%EC%96%B5%EC%9D%98_%EC%97%AC%EC%9E%90,"{'장르': '스릴러, 서스펜스', '방송 채널': 'KBS 2TV', '방송 기간': '2019년 12월 4일 ~ 2020년 1월 23일', '방송 시간': '매주 수요일, 목요일 밤 10시 ~ 11시 10분', '방송 분량': '70분 (1회당 35분 / 2회 연속방송)', '방송 횟수': '32부작', '추가 채널': 'KBS 드라마, 드라맥스', '기획': 'KBS 드라마본부', '제작사': '빅토리콘텐츠', '제작자': '조윤정', '연출': '김영조', '각본': '한지훈', '출연자': '조여정, 김강우, 정웅인, 오나라, 이지훈 외', '음악': '이창희', '자막': '청각 장애인을 위한 자막 방송', '외부 링크': '99억의 여자 홈페이지'}",11.6%,"스릴러, 서스펜스",KBS 2TV,"매주 수요일, 목요일 밤 10시 ~ 11시 10분"
스토브리그,https://ko.wikipedia.org/wiki/%EC%8A%A4%ED%86%A0%EB%B8%8C%EB%A6%AC%EA%B7%B8_(%EB%93%9C%EB%9D%BC%EB%A7%88),"{'장르': '스포츠 드라마', '방송 채널': 'SBS', '방송 기간': '2019년 12월 13일  ~ 2020년 2월 14일', '방송 시간': '매주 금, 토 밤 10:00 ~ 11:10', '방송 분량': '70분', '방송 횟수': '16부작', '추가 채널': 'SBS 플러스, 스카이 드라마, 드라마큐브', '기획': 'SBS 드라마본부', '책임프로듀서': '홍성창 (SBS 드라마운영팀)', '프로듀서': '조은정', '제작사': '길픽쳐스', '제작자': '박민엽', '연출': '정동윤, 한태섭', '각본': '이신화', '출연자': '남궁민, 박은빈, 오정세, 조병규, 조한선, 하도권', '여는 곡': '큐사인 - 이원석', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'UHD 제작 · 방송', '외부 링크': '스토브리그 홈페이지'}",19.1%,스포츠 드라마,SBS,"매주 금, 토 밤 10:00 ~ 11:10"
사랑의 불시착,https://ko.wikipedia.org/wiki/%EC%82%AC%EB%9E%91%EC%9D%98_%EB%B6%88%EC%8B%9C%EC%B0%A9,"{'장르': '로맨틱 드라마[1]로맨틱 코미디[2]', '방송 기간': '2019년 12월 14일 ~ 2020년 2월 16일', '방송 시간': '매주 토요일, 일요일 밤 9:10 ~ 11:00', '기획': '스튜디오 드래곤', '편집': '이현미', '촬영': '박성용, 최병훈, 정재은, 정재아, 김동혁', '제작사': '문화창고, 스튜디오 드래곤', '연출': '이정효, 김희원, 김나영', '각본': '박지은', '음악': '남혜승', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '사랑의 불시착 홈페이지'}",21.7%,로맨틱 드라마[1]로맨틱 코미디[2],,"매주 토요일, 일요일 밤 9:10 ~ 11:00"
간택 - 여인들의 전쟁,https://ko.wikipedia.org/wiki/%EA%B0%84%ED%83%9D_-_%EC%97%AC%EC%9D%B8%EB%93%A4%EC%9D%98_%EC%A0%84%EC%9F%81,"{'장르': '로맨스, 사극', '방송 국가': '대한민국', '방송 채널': 'TV조선', '방송 기간': '2019년 12월 14일 ~ 2020년 2월 9일', '방송 시간': '매주 토요일, 일요일 밤 11시 ~ 밤 12시', '방송 분량': '60분', '방송 횟수': '16부작', '추가 채널': 'TV CHOSUN2, 드라마 H, FOXlife', '기획': '정회석', '프로듀서': '정형서', '제작사': '하이그라운드, 코탑미디어', '제작자': '홍승철, 고대화', '연출': '김정민', '각본': '최수미', '출연자': '진세연, 김민규, 도상우, 이열음, 이시언 외', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '간택 - 여인들의 전쟁 홈페이지'}",6.3%,"로맨스, 사극",TV조선,"매주 토요일, 일요일 밤 11시 ~ 밤 12시"
블랙독,https://ko.wikipedia.org/wiki/%EB%B8%94%EB%9E%99%EB%8F%85_(%EB%93%9C%EB%9D%BC%EB%A7%88),"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': 'tvN', '방송 기간': '2019년 12월 16일 ~ 2020년 2월 4일', '방송 시간': '매주 월, 화 밤 9시 30분', '방송 횟수': '16부작', '기획': '스튜디오드래곤', '제작사': '얼반웍스', '연출': '황준혁', '각본': '박주연', '출연자': '서현진, 라미란, 하준 이창훈외', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '블랙독 홈페이지'}",5.5%,드라마,tvN,"매주 월, 화 밤 9시 30분"
검사내전,https://ko.wikipedia.org/wiki/%EA%B2%80%EC%82%AC%EB%82%B4%EC%A0%84,"{'방송 국가': '대한민국', '방송 채널': 'JTBC', '방송 기간': '2019년 12월 16일 ~ 2020년 2월 11일', '방송 시간': '매주 월요일, 화요일 밤 9시 30분', '방송 분량': '70분', '방송 횟수': '16부작', '원작': '김웅의 에세이《검사내전》', '기획': 'JTBC', '제작사': '(주)에스피스', '제작자': '오남석', '연출': '이태곤', '극본': '박연선(크리에이터), 이현, 서자연', '출연자': '이선균, 정려원, 이성재, 이상희 외', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '검사내전 홈페이지'}",5.0%,,JTBC,"매주 월요일, 화요일 밤 9시 30분"
루왁인간,https://ko.wikipedia.org/wiki/%EB%A3%A8%EC%99%81%EC%9D%B8%EA%B0%84,"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': 'JTBC', '방송 기간': '2019년 12월 30일', '방송 횟수': '2부작', '원작': '강한빛의 단편 소설《루왁인간》', '제작자': '드라마하우스', '연출': '라하나', '각본': '이보람', '출연자': '안내상, 김미수, 장혜진, 최덕문, 윤경호 외', '음성': '디지털', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '루왁인간 홈페이지'}",1.8%,드라마,JTBC,
