,text,text_mark_rm,text_checked,text_len
0,기태영씨는 이제 안 나오시는건가요?,기태영씨는 이제 안 나오시는건가요,기태영 씨는 이제 안 나오시는 건가요,18
1,이유리 배우님 보려고 기다렸는데... ... ㅠ.ㅠ,이유리 배우님 보려고 기다렸는데  ㅠㅠ,이유리 배우님 보려고 기다렸는데  ㅠㅠ,21
2,저번주에 이유리 재미도 있었고 녹색고추장 만드는것도 좋았는데 왜 또 안 나옵니까,저번주에 이유리 재미도 있었고 녹색고추장 만드는것도 좋았는데 왜 또 안 나옵니까,저번 주에 이유리 재미도 있었고 녹색 고추장 만드는 것도 좋았는데 왜 또 안 나옵니까,44
3,아이가 왜 계속나오는지~~~이제그만요,아이가 왜 계속나오는지이제그만요,아이가 왜 계속 나오는지 이제 그만요,17
4,요리가 이제서야 나오네. 슈돌도 적당히 찍어야지. 아빠 방금 전에 요리하는 거 기다리다가 지쳐서 들어가심 ㅡㅡ 적당히 좀 하세요 진짜.,요리가 이제서야 나오네 슈돌도 적당히 찍어야지 아빠 방금 전에 요리하는 거 기다리다가 지쳐서 들어가심 ㅡㅡ 적당히 좀 하세요 진짜,요리가 이제서야 나오네 슈도라도 적당히 찍어야지 아빠 방금 전에 요리하는 거 기다리다가 지쳐서 들어가심 ㅡㅡ 적당히 좀 하세요 진짜,72
5,이유리씨는 또 안나와요?ㅜㅜ,이유리씨는 또 안나와요ㅜㅜ,이유리 씨는 또 안 나와요ㅜㅜ,14
6,와 설마 오늘 본방 톡 내가 1빠? ㅎㄷㄷ,와 설마 오늘 본방 톡 내가 1빠 ㅎㄷㄷ,와 설마 오늘 본방 톡 내가 1빠 ㅎㄷㄷ,22
7,김보민님 진짜...본인 방송보고 무슨생각할지;; 너무 심해요 ㅜㅜ,김보민님 진짜본인 방송보고 무슨생각할지;; 너무 심해요 ㅜㅜ,김보민 님 진짜 본인 방송 보고 무슨 생각 할지;; 너무 심해요 ㅜㅜ,33
8,이거 뭐 육아프로냐 뭐냐 애들나오는거 지겨워,이거 뭐 육아프로냐 뭐냐 애들나오는거 지겨워,이거 뭐 육아 프로냐 뭐냐 애들 나오는 거 지겨워,24
9,류수영 옆에 여자분 누군기요 시끄러워요,류수영 옆에 여자분 누군기요 시끄러워요,류수영 옆에 여자분 누군 기요 시끄러워요,21
10,김보민을 빼던가 그렇게 출연시키고싶으면  오디오 끌 수 있게 해주던가 아나운서가 오디오가 엉망진창이네 그러니 나래이션 프로 못 하지,김보민을 빼던가 그렇게 출연시키고싶으면  오디오 끌 수 있게 해주던가 아나운서가 오디오가 엉망진창이네 그러니 나래이션 프로 못 하지,김보민을 빼던가 그렇게 출연시키고 싶으면  오디오 끌 수 있게 해주던가 아나운서가 오디오가 엉망진창이네 그러니 내레이션 프로 못 하지,73
11,류수영 분량 너무 적다ㅜㅜ,류수영 분량 너무 적다ㅜㅜ,류수영 분량 너무 적다ㅜㅜ,14
12,"이유리요 초록고추장 특허내서 판매하시길 매운것 좋아한이들한테는 무척 먹어 보고싶게함, 아무나 보고 저렇게 못만들고 재료 일일이 준비한것도 힘들어하거나 마트마다 다라서 없어가지고  못함","이유리요 초록고추장 특허내서 판매하시길 매운것 좋아한이들한테는 무척 먹어 보고싶게함, 아무나 보고 저렇게 못만들고 재료 일일이 준비한것도 힘들어하거나 마트마다 다라서 없어가지고  못함","이유리요 초록 고추장 특허 내서 판매하시길 매운 것 좋아한 이들한테는 무척 먹어 보고 싶게 함, 아무나 보고 저렇게 못 만들고 재료 일일이 준비한 것도 힘들어하거나 마트마다 다라서 없어가지고  못함",102
13,류수여은 요리실력도 좋고 대접도 잘해주고 그런 다 류수영네 가고싶어하지 다른요리는 곧 잘 하는데 김밥만 싸면 옆구리기 터져서 짜증나는 이젠 안터지고 잘 싸겠네요,류수여은 요리실력도 좋고 대접도 잘해주고 그런 다 류수영네 가고싶어하지 다른요리는 곧 잘 하는데 김밥만 싸면 옆구리기 터져서 짜증나는 이젠 안터지고 잘 싸겠네요,류수영은 요리 실력도 좋고 대접도 잘해주고 그런 다 류수영네 가고 싶어 하지 다른 요리는 곧잘 하는데 김밥만 싸면 옆구리기 터져서 짜증 나는 이젠 안 터지고 잘 싸겠네요,89
14,다들 열심히 노력하고 연구 하는데 편파적으로 분량을 그렇게 몰아주는건 아니죠 ,다들 열심히 노력하고 연구 하는데 편파적으로 분량을 그렇게 몰아주는건 아니죠 ,다들 열심히 노력하고 연구하는데 편파적으로 분량을 그렇게 몰아주는 건 아니죠 ,43
15,실력만큼 뽑아내는건데 거참 말들이 많다 잘하는만큼 나오는건데 어쩌라는건지 ㅡㅡㅋ,실력만큼 뽑아내는건데 거참 말들이 많다 잘하는만큼 나오는건데 어쩌라는건지 ㅡㅡㅋ,실력만큼 뽑아내는 건데 거참 말들이 많다 잘하는 만큼 나오는 건데 어쩌라는 건지 ㅡㅡㅋ,44
16,또 몰아주기 와 진짜 너무하네 ㅡㅡ,또 몰아주기 와 진짜 너무하네 ㅡㅡ,또 몰아주기 와 진짜 너무하네 ㅡㅡ,19
17,저도 김보민 아나운서 톤좀 낮춰 주세요 시청하는데 두통이 오네요,저도 김보민 아나운서 톤좀 낮춰 주세요 시청하는데 두통이 오네요,저도 김보민 아나운서 톤 좀 낮춰 주세요 시청하는데 두통이 오네요,35
18,잘해서 배아픈사람들 많아 보이네~~~,잘해서 배아픈사람들 많아 보이네,잘해서 배 아픈 사람들 많아 보이네,17
19,김보민 아니운서 말 좀 그만…..,김보민 아니운서 말 좀 그만…,김보민 아나운서 말 좀 그만…,16
20,아 보고 싶은데 결국 짜증나서 펜트하우스로 채널 돌림 제작진도 제발 아래 사람들 의견 좀 잘 들으세요,아 보고 싶은데 결국 짜증나서 펜트하우스로 채널 돌림 제작진도 제발 아래 사람들 의견 좀 잘 들으세요,아 보고 싶은데 결국 짜증 나서 펜트하우스로 채널 돌림 제작진도 제발 아래 사람들 의견 좀 잘 들으세요,56
21,김보민 아나 목소리가 절반이다...정말 듣기거북하네요,김보민 아나 목소리가 절반이다정말 듣기거북하네요,김보민 아나 목소리가 절반이다 정말 듣기 거북하네요,26
22,말을 쉬지 않고 함 경청하는 모습 좀 보여주세요,말을 쉬지 않고 함 경청하는 모습 좀 보여주세요,말을 쉬지 않고 함 경청하는 모습 좀 보여주세요,26
23,김보민 아나운서 혼자 너무 튀어요..귀따가워~~,김보민 아나운서 혼자 너무 튀어요귀따가워,김보민 아나운서 혼자 너무 튀어요 귀 따가워,22
24,김보민님 목소리에 자꾸 깜짝깜짝놀라 몰입이 깨져 여기까지 찾아와서 글 남깁니다. 오디오 좀 줄여주세요. 리액션 하는 게 나쁜게 아닌데 생각없이 일단 에에!? 부정! 하면서 말하는게 너무 불편해요... 방송보다 불편해서 여기까지 검색해서 글 남깁니다,김보민님 목소리에 자꾸 깜짝깜짝놀라 몰입이 깨져 여기까지 찾아와서 글 남깁니다 오디오 좀 줄여주세요 리액션 하는 게 나쁜게 아닌데 생각없이 일단 에에! 부정! 하면서 말하는게 너무 불편해요 방송보다 불편해서 여기까지 검색해서 글 남깁니다,김보민 님 목소리에 자꾸 깜짝깜짝 놀라 몰입이 깨져 여기까지 찾아와서 글 남깁니다 오디오 좀 줄여주세요 리액션 하는 게 나쁜 게 아닌데 생각 없이 일단 에에! 부정! 하면서 말하는 게 너무 불편해요 방송보다 불편해서 여기까지 검색해서 글 남깁니다,132
25,김보민 아나운서ㅜㅜ소리가 너무 거슬리네요  과장되고 거북합니다,김보민 아나운서ㅜㅜ소리가 너무 거슬리네요  과장되고 거북합니다,김보민 아나운서ㅜㅜ소리가 너무 거슬리네요  과장되고 거북합니다,34
26,김보민 아나가 mc보다 말 더 많음요,김보민 아나가 mc보다 말 더 많음요,김보민 아나가 mc보다 말 더 많음요,20
27,김보민 아나운서 말 너무 많아서 방해됨,김보민 아나운서 말 너무 많아서 방해됨,김보민 아나운서 말 너무 많아서 방해됨,21
28,호일은 안 좋은데 뜨거운 걸 호일에 놓으시네,호일은 안 좋은데 뜨거운 걸 호일에 놓으시네,호일은 안 좋은데 뜨거운 걸 포일에 놓으시네,24
29,이유리씨 지나갔나요?,이유리씨 지나갔나요,이유리 씨 지나갔나요,10
30,저 개그맨들 여기저기 넘 많이 나오는데..식상하고 보기싫다 이제는 류수영편만 골라보게된다,저 개그맨들 여기저기 넘 많이 나오는데식상하고 보기싫다 이제는 류수영편만 골라보게된다,저 개그맨들 여기저기 너무 많이 나오는데 식상하고 보기 싫다 이제는 류수영 편만 골라보게 된다,47
31,이유리 창의력은 실력만큼 대단한거 같음 정말 잘하네,이유리 창의력은 실력만큼 대단한거 같음 정말 잘하네,이유리 창의력은 실력만큼 대단한 거 같음 정말 잘하네,28
32,요즘 ppl은 워낙 심하니까 그러려니 하고 보거나 아예 잘 안보는 편인데.. 역시나 간만에 본 프로에서 에어프라이어인지 전자렌지 인지 장난 아니네요.. 배우들이 안됐기도 하다가 다 알면서 저리 태연한 척 연기하는 거 보는 화가 나기도 하고,요즘 ppl은 워낙 심하니까 그러려니 하고 보거나 아예 잘 안보는 편인데 역시나 간만에 본 프로에서 에어프라이어인지 전자렌지 인지 장난 아니네요 배우들이 안됐기도 하다가 다 알면서 저리 태연한 척 연기하는 거 보는 화가 나기도 하고,요즘 ppl은 워낙 심하니까 그러려니 하고 보거나 아예 잘 안 보는 편인데 역시나 오래간만에 본 프로에서 에어프라이어인지 전자레인지 인지 장난 아니네요 배우들이 안됐기도 하다가 다 알면서 저리 태연한 척 연기하는 거 보는 화가 나기도 하고,129
33,광고를 위한 프로그램이네요 ㅎㅎ,광고를 위한 프로그램이네요 ㅎㅎ,광고를 위한 프로그램이네요 ㅎㅎ,17
34,허경환 씨 이유리 씨 잘생기고 예뻐서 그런지 눈이 즐거워~ㅋㅋㅎㅎ,허경환 씨 이유리 씨 잘생기고 예뻐서 그런지 눈이 즐거워ㅋㅋㅎㅎ,허경환 씨 이유리 씨 잘생기고 예뻐서 그런지 눈이 즐거워ㅋㅋㅎㅎ,35
35,인덕션 모델 아시는분?,인덕션 모델 아시는분,인덕션 모델 아시는 분,11
36,이유리님 예능감이 진짜 이경규이영자님 뺨치신다ㅋㅋ,이유리님 예능감이 진짜 이경규이영자님 뺨치신다ㅋㅋ,이유리 님 예능감이 진짜 이경규 이영자 님 뺨치신다ㅋㅋ,27
37,ㅋㅋzzzzzzㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋzzzzzzㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋzzzzzzㅋㅋㅋㅋㅋㅋㅋㅋ,16
38,개터졐ㅋㅋㅋㅋㅋㅋ,개터졐ㅋㅋㅋㅋㅋㅋ,개터졐ㅋㅋㅋㅋㅋㅋ,9
39,이유리 분위기메이커 ㅋㅋㅋ,이유리 분위기메이커 ㅋㅋㅋ,이유리 분위기 메이커 ㅋㅋㅋ,14
40,류수영이랑 같이 붙는 사람들 좀 불쌍함 어차피 류수영이 이기는게임인데 하고싶지 않을듯ㅋ,류수영이랑 같이 붙는 사람들 좀 불쌍함 어차피 류수영이 이기는게임인데 하고싶지 않을듯ㅋ,류수영이랑 같이 붙는 사람들 좀 불쌍함 어차피 류수영이 이기는 게임인데 하고 싶지 않을 듯ㅋ,48
41,울산에 미트파이 나왔으면 좋겠는데요. 찾아도 안보이네요.,울산에 미트파이 나왔으면 좋겠는데요 찾아도 안보이네요,울산에 미트파이 나왔으면 좋겠는데요 찾아도 안 보이네요,29
42,편스 심사위원이나 다름없는 실력최강자 류수영씨 봐야지~,편스 심사위원이나 다름없는 실력최강자 류수영씨 봐야지,편 쓰 심사위원이나 다름없는 실력 최강자 류수영 씨 봐야지,29
43,이름은 편스토랑으로 잘 지어서 잘 만들어 놓고 짭슈돌로 스스로 프로그램 깎아먹는거 보면 초심 지켜가면서 프로그램 색을 잃지 않는게 얼마나 힘들고 대단한일인지 다시한번 느낌. 아주 표류해버려서 안타깝네요.,이름은 편스토랑으로 잘 지어서 잘 만들어 놓고 짭슈돌로 스스로 프로그램 깎아먹는거 보면 초심 지켜가면서 프로그램 색을 잃지 않는게 얼마나 힘들고 대단한일인지 다시한번 느낌 아주 표류해버려서 안타깝네요,이름은 편드 토랑으로 잘 지어서 잘 만들어 놓고 짭슈돌로 스스로 프로그램 깎아먹는 거 보면 초심 지켜가면서 프로그램 색을 잃지 않는 게 얼마나 힘들고 대단한 일인지 다시 한번 느낌 아주 표류해버려서 안타깝네요,111
44,이유리님 나오시네 본방봐야지,이유리님 나오시네 본방봐야지,이유리 님 나오시네 본방 봐야지,15
45,울산에서 미트파이 나왔으면 좋겠는데요. CU 편의점에 자주 가는데 없어요. 미트파이 자주나왔으면 좋겠습니다.,울산에서 미트파이 나왔으면 좋겠는데요 CU 편의점에 자주 가는데 없어요 미트파이 자주나왔으면 좋겠습니다,울산에서 미트파이 나왔으면 좋겠는데요 CU 편의점에 자주 가는데 없어요 미트파이 자주 나왔으면 좋겠습니다,57
46,박정아씨가 84회차에 입고나오신 화이트 니트블라우스 치마세트 제품정보 알 수 있을까요?,박정아씨가 84회차에 입고나오신 화이트 니트블라우스 치마세트 제품정보 알 수 있을까요,박정아 씨가 84회차에 입고 나오신 화이트 니트 블라우스 치마 세트 제품 정보 알 수 있을까요,47
47,박정아씨 집이 아파트 아닌가요? 아이가 집에서 달리기를 하는데도 걸어다니라고 가르치지 않는 게 이상하네요. 층간소음으로 힘들게 지내다보니 너무 불편하고 눈에 거슬리던데요.,박정아씨 집이 아파트 아닌가요 아이가 집에서 달리기를 하는데도 걸어다니라고 가르치지 않는 게 이상하네요 층간소음으로 힘들게 지내다보니 너무 불편하고 눈에 거슬리던데요,박정아씨 집이 아파트 아닌가요 아이가 집에서 달리기를 하는데도 걸어 다니라고 가르치지 않는 게 이상하네요 층간 소음으로 힘들게 지내다 보니 너무 불편하고 눈에 거슬리던데요,92
48,오상진님 나오셨으면 좋겠어요~,오상진님 나오셨으면 좋겠어요,오상진 님 나오셨으면 좋겠어요,15
49,로린이 너무나도 귀요미~~~~,로린이 너무나도 귀요미,로렌이 너무나도 귀요미,12
50,주제가 우유였던 실력 좋으신 우승자랑 이번주랑 기량차이가 다르긴다르다;;;,주제가 우유였던 실력 좋으신 우승자랑 이번주랑 기량차이가 다르긴다르다;;;,주제가 우유였던 실력 좋으신 우승자랑 이번 주랑 기량 차이가 다르긴 다르다;;;,41
51,아윤이 너무 사랑스럽다,아윤이 너무 사랑스럽다,아윤이 너무 사랑스럽다,12
52,오늘 보다보니까 여긴 류수영 씨만 나와도 될것 같네요. 이것저것 달변가라 분량 걱정도 없고 류수영 씨만큼 하는 사람도 없고 지금은 재미없어요. 류수영 씨 한분으로 승부봐도 될 것같아요~,오늘 보다보니까 여긴 류수영 씨만 나와도 될것 같네요 이것저것 달변가라 분량 걱정도 없고 류수영 씨만큼 하는 사람도 없고 지금은 재미없어요 류수영 씨 한분으로 승부봐도 될 것같아요,오늘 보다 보니까 여긴 류수영 씨만 나와도 될 것 같네요 이것저것 달변가라 분량 걱정도 없고 류수영 씨만큼 하는 사람도 없고 지금은 재미없어요 류수영 씨 한 분으로 승부 봐도 될 것 같아요,100
53,만두를 냉동 식품으로 하려면 차라리 다른 주제를 해야지 도대체 뭡니까?이영자 류수영 나올때가 차라리 훨씬 좋은 것 같아요~,만두를 냉동 식품으로 하려면 차라리 다른 주제를 해야지 도대체 뭡니까이영자 류수영 나올때가 차라리 훨씬 좋은 것 같아요,만두를 냉동식품으로 하려면 차라리 다른 주제를 해야지 도대체 뭡니까 이영자 류수영 나올 때가 차라리 훨씬 좋은 것 같아요,66
54,흰블라우스는 홍자씨아닌가,흰블라우스는 홍자씨아닌가,흰 블라우스는 홍자 씨 아닌가,13
55,뒤에 나온 흰옷패널분 이름 아시는분계신가요?,뒤에 나온 흰옷패널분 이름 아시는분계신가요,뒤에 나온 흰옷 패널 분 이름 아시는 분 계시나요,23
56,명세빈 기태영 가수 윙크 박정아 김보민 이연복 이경규 허경환 다른 한 분은 모르겠어요,명세빈 기태영 가수 윙크 박정아 김보민 이연복 이경규 허경환 다른 한 분은 모르겠어요,명세빈 기태영 가수 윙크 박정아 김보민 이연복 이경규 허경환 다른 한 분은 모르겠어요,47
57,지금 하고있는 패널분들 이름을 다아시는분있나요???,지금 하고있는 패널분들 이름을 다아시는분있나요,지금 하고 있는 패널분들 이름을 다 아시는 분 있나요,25
58,류수영님이 와야지 엉망이네...,류수영님이 와야지 엉망이네,류수영 님이 와야지 엉망이네,14
59,기태영 저번주 몸자랑부터 허세 너무 심함,기태영 저번주 몸자랑부터 허세 너무 심함,기태영 저번 주 몸 자랑부터 허세 너무 심함,22
60,기태영은 안나왔으면,기태영은 안나왔으면,기태영은 안 나왔으면,10
61,갈수록 슈돌되어가나  애들 먹방인줄,갈수록 슈돌되어가나  애들 먹방인줄,갈수록 슈도로 되어가 나  애들 먹방인줄,19
62,아니 점점 프로가 슈돌화가 되어 가는듯,아니 점점 프로가 슈돌화가 되어 가는듯,아니 점점 프로가 슈도라 화가 되어 가는 듯,21
63,근데 특히 박정아씨 나올때 PPL 너무 심해서 좀 보기 거부감 듦.  얇은피만두 ㅜ다 만들어서 먹이는 사람이 만두는 안만들고냉동식품을 쓰는건 좀 모순아닌가,근데 특히 박정아씨 나올때 PPL 너무 심해서 좀 보기 거부감 듦  얇은피만두 ㅜ다 만들어서 먹이는 사람이 만두는 안만들고냉동식품을 쓰는건 좀 모순아닌가,근데 특히 박정아 씨 나올 때 PPL 너무 심해서 좀 보기 거부감 듦  얇은 피만도 ㅜ다 만들어서 먹이는 사람이 만두는 안 만들고 냉동식품을 쓰는 건 좀 모순 아닌가,85
64,박정아 지금 옷 어디꺼에요,박정아 지금 옷 어디꺼에요,박정아 지금 옷 어디 거예요,14
65,젤라틴보다는 차라리 동물성 생크림이 낫지 않았을까 싶어요,젤라틴보다는 차라리 동물성 생크림이 낫지 않았을까 싶어요,젤라틴보다는 차라리 동물성 생크림이 낫지 않았을까 싶어요,31
66,이경규 올드보이 상황극 그만해라 채널 돌아가는  소리 난다도대체 뭐냐?? 요리프로그램인데 취지에서 벗어난 것 같다짜증난다,이경규 올드보이 상황극 그만해라 채널 돌아가는  소리 난다도대체 뭐냐 요리프로그램인데 취지에서 벗어난 것 같다짜증난다,이경규 올드보이 상황극 그만해라 채널 돌아가는  소리 난다도 대체 뭐냐 요리 프로그램인데 취지에서 벗어난 것 같다 짜증 난다,65
67,파래탕면 단종인가요??ㅠㅠ꾸준히사먹은편스토랑제품인데,파래탕면 단종인가요ㅠㅠ꾸준히사먹은편스토랑제품인데,파아래 탕면 단종인가요ㅠㅠ꾸준히사먹은편스토랑제품인데,26
68,"명세빈님 요리 잘하는걸 꼭 결혼으로 연결시키고 남자로 연결시키는 mc, 패널분들의 시대를 역행하는 아쉬운 말들이 대본인지 정말 그분들 생각인건지...편스토랑이 슈돌화 되는거보면 알거같기도...","명세빈님 요리 잘하는걸 꼭 결혼으로 연결시키고 남자로 연결시키는 mc, 패널분들의 시대를 역행하는 아쉬운 말들이 대본인지 정말 그분들 생각인건지편스토랑이 슈돌화 되는거보면 알거같기도","명세빈 님 요리 잘하는 걸 꼭 결혼으로 연결하고 남자로 연결하는 mc, 패널분들의 시대를 역행하는 아쉬운 말들이 대본인지 정말 그분들 생각인 건지 편 스토랑 이 슈돌화 되는 거 보면 알 거 같기도",101
69,어떤 사람이 와도 류수영님 만큼은 못하네요. 시청률도 계속 하락이고 류수영님까지 3주로 빼는 어리석은 선택을 왜했는지...류수영님께 부탁이라도 해서 매주 나오는걸로 바꾸면 결과가 좋겠어요,어떤 사람이 와도 류수영님 만큼은 못하네요 시청률도 계속 하락이고 류수영님까지 3주로 빼는 어리석은 선택을 왜했는지류수영님께 부탁이라도 해서 매주 나오는걸로 바꾸면 결과가 좋겠어요,어떤 사람이 와도 류수영 님만큼은 못하네요 시청률도 계속 하락이고 류수영 님까지 3주로 빼는 어리석은 선택을 왜 했는 지류 수영님께 부탁이라도 해서 매주 나오는 걸로 바꾸면 결과가 좋겠어요,100
70,기태영이 살린듯 새로운 캐릭터등장 꿀잼 기테일  ㅋㅋ,기태영이 살린듯 새로운 캐릭터등장 꿀잼 기테일  ㅋㅋ,기태영이 살린 듯 새로운 캐릭터 등장 꿀 잼 디테일  ㅋㅋ,29
71,적당히가 좋은데 보면서 귀로 계속 시끄럽고 거부감이 들어서 많이 힘들었어요.뭐든지 적당히가 좋은거 같아요.,적당히가 좋은데 보면서 귀로 계속 시끄럽고 거부감이 들어서 많이 힘들었어요뭐든지 적당히가 좋은거 같아요,적당히가 좋은데 보면서 귀로 계속 시끄럽고 거부감이 들어서 많이 힘들었어요 뭐든지 적당히가 좋은 거 같아요,57
72,저번주 이번주 웡크씨 계속 쉴틈없이 리액션 그리고 계속 얘기 하시는거 정말 불편했어요,저번주 이번주 웡크씨 계속 쉴틈없이 리액션 그리고 계속 얘기 하시는거 정말 불편했어요,저번 주 이번 주 웡크씨 계속 쉴 틈 없이 리액션 그리고 계속 얘기하시는 거 정말 불편했어요,47
73,기태영씨~ 요리와 살림 잘 하세요^^그런데 설거지 하실때 물소비가 심해요 ㅠ설거지통에 담가서 하시면 좋을듯요보는내내 물을 과하게 틀어서요물부족 국가이라서 나부터라도 물소비를 아끼면 좋겠습니다 늘 좋은 요리 잘 보고 있습니다,기태영씨 요리와 살림 잘 하세요그런데 설거지 하실때 물소비가 심해요 ㅠ설거지통에 담가서 하시면 좋을듯요보는내내 물을 과하게 틀어서요물부족 국가이라서 나부터라도 물소비를 아끼면 좋겠습니다 늘 좋은 요리 잘 보고 있습니다,기태영 씨 요리와 살림 잘 하세요 그런데 설거지하실 때 무소비가 심해요 ㅠ설거지 통에 담가서 하시면 좋을 듯 요보는 내내 물을 과하게 틀어서 요물 부족 국가이라서 나부터라도 무소비를 아끼면 좋겠습니다 늘 좋은 요리 잘 보고 있습니다,121
74,기태영 과해 왤케 쓸데없이 몸을 과시하지,기태영 과해 왤케 쓸데없이 몸을 과시하지,기태영 과해 왜 이렇게 쓸데없이 몸을 과시하지,22
75,명세빈편은 잠깐보니까 소금까지도 거의다 외국에서 사온 재료고 일반인들이 잘 접하는 음식도 아니고..안보게됨,명세빈편은 잠깐보니까 소금까지도 거의다 외국에서 사온 재료고 일반인들이 잘 접하는 음식도 아니고안보게됨,명세빈 편은 잠깐 보니까 소금까지도 거의 다 외국에서 사온 재료고 일반인들이 잘 접하는 음식도 아니고 안 보게 됨,57
76,확실히 현실적이고 마음따뜻하고 잼난 류수영편 나오는것만 보게 된다,확실히 현실적이고 마음따뜻하고 잼난 류수영편 나오는것만 보게 된다,확실히 현실적이고 마음 따뜻하고 재미난 류수영 편 나오는 것만 보게 된다,36
77,25개월아기에게 사이다먹이면이빨 안좋아지는거아시고 사이다먹이죠 ..ㅠ,25개월아기에게 사이다먹이면이빨 안좋아지는거아시고 사이다먹이죠 ㅠ,25개월 아기에게 사이다 먹이면 이빨 안 좋아지는 거 아시고 사이다 먹이죠 ㅠ,36
78,류수영처럼 스탭한테 정성을 쏟거나 요리를 잘하는 사람이 없으니까 재미가 없어ㅜㅜ,류수영처럼 스탭한테 정성을 쏟거나 요리를 잘하는 사람이 없으니까 재미가 없어ㅜㅜ,류수영처럼 스태프한테 정성을 쏟거나 요리를 잘하는 사람이 없으니까 재미가 없어ㅜㅜ,44
79,헉;; 박정아씨도 채소 껍질 벗길때 물을 계속 틀어놓네요. 출연진분들 제발 물좀 아껴주세요ㅠ 해당장면 볼때마다 맘이 아파요ㅠㅠ,헉;; 박정아씨도 채소 껍질 벗길때 물을 계속 틀어놓네요 출연진분들 제발 물좀 아껴주세요ㅠ 해당장면 볼때마다 맘이 아파요ㅠㅠ,헉;; 박정아 씨도 채소 껍질 벗길 때 물을 계속 틀어놓네요 출연진분들 제발 물 좀 아껴주세요ㅠ 해당 장면 볼 때마다 맘이 아파요ㅠㅠ,69
80,태영씨 설거지 깨끗이 하는거 주부로서 너무 좋은데 사랑하는 자녀를 위해서라도 물은 아껴주셨음 하는 바람입니다ㅠ,태영씨 설거지 깨끗이 하는거 주부로서 너무 좋은데 사랑하는 자녀를 위해서라도 물은 아껴주셨음 하는 바람입니다ㅠ,태영 씨 설거지 깨끗이 하는 거 주부로서 너무 좋은데 사랑하는 자녀를 위해서라도 물은 아껴주셨으면 하는 바람입니다ㅠ,61
81,샌드위치 꼭해볼게요,샌드위치 꼭해볼게요,샌드위치 꼭 해볼게요,10
82,김재원 기태영 류수영 이 세분들이 같이나오면 장면들이 비슷비슷해서 지루하려나? 거의 똑같은 장면으로 보여지는 유부남끼리 모아놓으면 어떨지 궁금하네요,김재원 기태영 류수영 이 세분들이 같이나오면 장면들이 비슷비슷해서 지루하려나 거의 똑같은 장면으로 보여지는 유부남끼리 모아놓으면 어떨지 궁금하네요,김재원 기태영 류수영 이 세분들이 같이 나오면 장면들이 비슷비슷해서 지루하려나 거의 똑같은 장면으로 보이는 유부남끼리 모아놓으면 어떨지 궁금하네요,81
83,기태영의 몸자랑과 자신한테 빠진것 눈골사냡네요 요리실격은 잇을지 모라도 보기싫군요 이럴바엔 나오지마세요 물을 막 쓰시던데 아기ㅣ죠 지금 한국에도 물을 사용하고싶어도 힘들게 살아서 물조차도 편안하게 못사용아들 많거든요  목욕물은은  당연하고 마실 물도조도요 한느것마다 밉상짓만하네요,기태영의 몸자랑과 자신한테 빠진것 눈골사냡네요 요리실격은 잇을지 모라도 보기싫군요 이럴바엔 나오지마세요 물을 막 쓰시던데 아기ㅣ죠 지금 한국에도 물을 사용하고싶어도 힘들게 살아서 물조차도 편안하게 못사용아들 많거든요  목욕물은은  당연하고 마실 물도조도요 한느것마다 밉상짓만하네요,기태영의 몸 자랑과 자신한테 빠진 것 눈골사냡네요 요리 실격은 있을지 몰라도 보기 싫군요 이럴 바엔 나오지 마세요 물을 막 쓰시던데 아기ㅣ죠 지금 한국에도 물을 사용하고 싶어도 힘들게 살아서 물조차도 편안하게 못 사용 아들 많거든요  목욕물은 은  당연하고 마실 물도 조도요 하는 것마다 밉상 짓만 하네요,156
84,아윤이는 다른 아가들보다 확실이 빠르네요 잘 먹고 저런 아가들을 둔 부모는 힘  덜 들겠어요,아윤이는 다른 아가들보다 확실이 빠르네요 잘 먹고 저런 아가들을 둔 부모는 힘  덜 들겠어요,아윤이는 다른 아가들보다 확실히 빠르네요 잘 먹고 저런 아가들을 둔 부모는 힘  덜 들겠어요,51
85,명세빈은 뭐든 이쁘게하네요 전주 꽃만두는 터질 염려가 없겠어요 헌데 만두피 어디서 사신건가요 대형마트에도 안보이던데 시중에 많이 나오길 바라네요,명세빈은 뭐든 이쁘게하네요 전주 꽃만두는 터질 염려가 없겠어요 헌데 만두피 어디서 사신건가요 대형마트에도 안보이던데 시중에 많이 나오길 바라네요,명세빈은 뭐든 이쁘게 하네요 전주 꽃 만드는 터질 염려가 없겠어요 한데 만두피 어디서 사신 건가요 대형마트에도 안 보이던데 시중에 많이 나오길 바라네요,80
86,재미가 없당,재미가 없당,재미가 없다,6
87,ㅋㅋ저렇게건강식챙겨주고 ㅋㅋ플라스틱식판 환경호르몬,ㅋㅋ저렇게건강식챙겨주고 ㅋㅋ플라스틱식판 환경호르몬,ㅋㅋ저렇게건강식챙겨주고 ㅋㅋ플라스틱식판 환경호르몬,27
88,허경환 옆에 여자 누구에요?,허경환 옆에 여자 누구에요,허경환 옆에 여자 누구예요,14
89,아윤이 너무 사랑스럽네요,아윤이 너무 사랑스럽네요,아윤이 너무 사랑스럽네요,13
90,류수영만한 인물이 없다...,류수영만한 인물이 없다,류수영만 한 인물이 없다,12
