,text,text_mark_rm,text_checked,text_len
10544,"정일우,이유리씨 나왔을 때가 젤 잼났는데","정일우,이유리씨 나왔을 때가 젤 잼났는데","정일우, 이 유리 씨 나왔을 때가 젤 재미났는데",22
10545,프로의 본 주제를 잊지말아주세요ᆢ,프로의 본 주제를 잊지말아주세요ᆢ,프로의 본 주제를 잊지 말아 주세요ᆢ,18
10546,노래하러나왔노ㅋㅋㅋㅋㅋㅋ,노래하러나왔노ㅋㅋㅋㅋㅋㅋ,노래하러나왔노ㅋㅋㅋㅋㅋㅋ,13
10547,이유리 어디감ㅠㅠ 이유리님 때문에 봤는데,이유리 어디감ㅠㅠ 이유리님 때문에 봤는데,이유리 어디감ㅠㅠ 이유리 님 때문에 봤는데,22
10548,이유리 왜 나감,이유리 왜 나감,이유리 왜 나감,8
10549,"정일우 나가면서 이유리도 나가다니....솔직히 볼 마음이 없어지네.이유리씨 대놓고 차별하면서 그거 보기 싫었건만 이유리가 왜 나간건지,,,,","정일우 나가면서 이유리도 나가다니솔직히 볼 마음이 없어지네이유리씨 대놓고 차별하면서 그거 보기 싫었건만 이유리가 왜 나간건지,,,,","정일우 나가면서 이유리도 나가다니 솔직히 볼 마음이 없어지네 이유리 씨 대놓고 차별하면서 그거 보기 싫었건만 이유리가 왜 나간 건지,,,,",73
10550,민이가 안나와서 아쉬웠어요담주에는 꼭 볼수 있길기다릴께요,민이가 안나와서 아쉬웠어요담주에는 꼭 볼수 있길기다릴께요,민이가 안 나와서 아쉬웠어 요담 주에는 꼭 볼 수 있길 기다릴게요,31
10551,이영자 소속사는 재계약의 의지가 없어보임. 그저 연예인을 소비만 할뿐. 이경규가 없으면 몰라도 요알못 캐릭을 살려서 이영자한테 무슨 도움이 됨?,이영자 소속사는 재계약의 의지가 없어보임 그저 연예인을 소비만 할뿐 이경규가 없으면 몰라도 요알못 캐릭을 살려서 이영자한테 무슨 도움이 됨,이영자 소속사는 재계약의 의지가 없어 보임 그저 연예인을 소비만 할 뿐 이경규가 없으면 몰라도 요알 못 캐릭터를 살려서 이영자한테 무슨 도움이 됨,77
10552,신선하고 재밌었네요 소소하게보는 재미가있네요 수찬님덕에 처음 이프로를 접한사람두 많은데 흥나고 좋았어요~♡,신선하고 재밌었네요 소소하게보는 재미가있네요 수찬님덕에 처음 이프로를 접한사람두 많은데 흥나고 좋았어요♡,신선하고 재밌었네요 소소하게 보는 재미가 있네요 수찬 님 덕에 처음 이프로를 접한 사람도 많은데 흥나고 좋았어요♡,58
10553,김수찬 프린수찬 역시는역시,김수찬 프린수찬 역시는역시,김수찬 프린수찬 역시는 역시,14
10554,"시청자 조롱하는것도 아니고 맨날 이정현은 무슨 한식 파인다이닝 레스토랑에 나오는 음식마냥 만들어서 먹고,정작 낼 수 있는건 만들질 않아;","시청자 조롱하는것도 아니고 맨날 이정현은 무슨 한식 파인다이닝 레스토랑에 나오는 음식마냥 만들어서 먹고,정작 낼 수 있는건 만들질 않아;","시청자 조롱하는 것도 아니고 맨날 이정현은 무슨 한식 파인 다이닝 레스토랑에 나오는 음식처럼 만들어서 먹고, 정작 낼 수 있는 건 만들질 않아;",76
10555,솔직히 이프로 우연히 이유리나오는 거 보다가 재미있어서 보게됐는데 이제는 안 보게되네요,솔직히 이프로 우연히 이유리나오는 거 보다가 재미있어서 보게됐는데 이제는 안 보게되네요,솔직히 이프로 우연히 이유리 나오는 거 보다가 재미있어서 보게 됐는데 이제는 안 보게 되네요,48
10556,김수찬 나와서 너무 재미있고 웃겼어요~,김수찬 나와서 너무 재미있고 웃겼어요,김수찬 나와서 너무 재미있고 웃겼어요,20
10557,다들  열심히  음식에대한 열정이 대단들 하시네요.   다음    우승  상품 기대할께요~~,다들  열심히  음식에대한 열정이 대단들 하시네요   다음    우승  상품 기대할께요,다들  열심히  음식에 대한 열정이 대단들 하시네요   다음    우승  상품 기대할게요,48
10558,글고 말은 베비베비하면서 말들어주는척하는데  다 자기위주임,글고 말은 베비베비하면서 말들어주는척하는데  다 자기위주임,그리고 말은 베비 베비 하면서 말 들어주는척하는데  다 자기 위주임,32
10559,아니 이유리씨나가고 이영자 이경규씨 때문에보긴해여 오윤아씨도 좋고 딱 거기까지.  이정현씨 메인재료만바뀌지 다른거 너무 그대로라서 이제 식삼함,아니 이유리씨나가고 이영자 이경규씨 때문에보긴해여 오윤아씨도 좋고 딱 거기까지  이정현씨 메인재료만바뀌지 다른거 너무 그대로라서 이제 식삼함,아니 이유리 씨 나가고 이영자 이경규 씨 때문에 보긴 해요 오윤아 씨도 좋고 딱 거기까지  이정현 씨 메인 재료만 바뀌지 다른 거 너무 그대로라서 이제 식상함,78
